sport,league,event_ticker,market_ticker,game_id,home_team,away_team,expiration_time,selection,yes_bid,yes_ask,implied_prob_mid,spread,yes_bid_size,yes_ask_size,volume,volume_24h,open_interest,status,source,fetched_at
nfl,NFL,KXNFLGAME-26SEP13ARILAC,KXNFLGAME-26SEP13ARILAC-ARI,,LAC,ARI,2026-09-14T02:25:00Z,away,0.18,0.19,0.185,0.01,165462.36,59440.43,158795.39,41731.91,127926.97,active,kalshi,2026-09-12T06:02:05.508642+00:00
nfl,NFL,KXNFLGAME-26SEP13ARILAC,KXNFLGAME-26SEP13ARILAC-LAC,,LAC,ARI,2026-09-14T02:25:00Z,home,0.8,0.81,0.805,0.01,102231.06,1169221.64,191236.41,26133.58,122199.26,active,kalshi,2026-09-12T06:02:05.508642+00:00
nfl,NFL,KXNFLGAME-26SEP13ATLPIT,KXNFLGAME-26SEP13ATLPIT-ATL,,PIT,ATL,2026-09-13T20:00:00Z,away,0.29,0.3,0.295,0.01,84609.77,622994.84,249351.31,162533.53,120006.62,active,kalshi,2026-09-12T06:02:05.508642+00:00
nfl,NFL,KXNFLGAME-26SEP13ATLPIT,KXNFLGAME-26SEP13ATLPIT-PIT,,PIT,ATL,2026-09-13T20:00:00Z,home,0.7,0.71,0.705,0.01,124305.96,300980.75,397803.8,121698.75,350618.01,active,kalshi,2026-09-12T06:02:05.508642+00:00
nfl,NFL,KXNFLGAME-26SEP13BALIND,KXNFLGAME-26SEP13BALIND-BAL,,IND,BAL,2026-09-13T20:00:00Z,away,0.6,0.61,0.605,0.01,111910.69,610154.27,164780.15,30707.25,142225.31,active,kalshi,2026-09-12T06:02:05.508642+00:00
nfl,NFL,KXNFLGAME-26SEP13BALIND,KXNFLGAME-26SEP13BALIND-IND,,IND,BAL,2026-09-13T20:00:00Z,home,0.39,0.4,0.395,0.01,307167.07,334536.69,70047.96,15511.59,62169.58,active,kalshi,2026-09-12T06:02:05.508642+00:00
nfl,NFL,KXNFLGAME-26SEP13BUFHOU,KXNFLGAME-26SEP13BUFHOU-BUF,,HOU,BUF,2026-09-13T20:00:00Z,away,0.51,0.52,0.515,0.01,232970.58,176221.28,381800.37,119486.8,317178.76,active,kalshi,2026-09-12T06:02:05.508642+00:00
nfl,NFL,KXNFLGAME-26SEP13BUFHOU,KXNFLGAME-26SEP13BUFHOU-HOU,,HOU,BUF,2026-09-13T20:00:00Z,home,0.47,0.48,0.475,0.01,95884.38,1125940.44,316372.48,141284.67,258920.63,active,kalshi,2026-09-12T06:02:05.508642+00:00
nfl,NFL,KXNFLGAME-26SEP13CHICAR,KXNFLGAME-26SEP13CHICAR-CHI,,CAR,CHI,2026-09-13T20:00:00Z,away,0.59,0.6,0.595,0.01,144369.38,620215.25,259354.78,57371.94,219290.35,active,kalshi,2026-09-12T06:02:05.508642+00:00
nfl,NFL,KXNFLGAME-26SEP13CHICAR,KXNFLGAME-26SEP13CHICAR-CAR,,CAR,CHI,2026-09-13T20:00:00Z,home,0.39,0.4,0.395,0.01,376762.22,42971.84,74867.01,18564.43,61239.5,active,kalshi,2026-09-12T06:02:05.508642+00:00
nfl,NFL,KXNFLGAME-26SEP13CLEJAC,KXNFLGAME-26SEP13CLEJAC-CLE,,JAX,CLE,2026-09-13T20:00:00Z,away,0.21,0.22,0.215,0.01,61632.9,378912.87,160360.13,47798.49,138754.79,active,kalshi,2026-09-12T06:02:05.508642+00:00
nfl,NFL,KXNFLGAME-26SEP13CLEJAC,KXNFLGAME-26SEP13CLEJAC-JAC,,JAX,CLE,2026-09-13T20:00:00Z,home,0.78,0.79,0.785,0.01,141489.37,216591.86,158475.58,36950.36,133213.93,active,kalshi,2026-09-12T06:02:05.508642+00:00
nfl,NFL,KXNFLGAME-26SEP13DALNYG,KXNFLGAME-26SEP13DALNYG-DAL,,NYG,DAL,2026-09-14T06:20:00Z,away,0.6,0.61,0.605,0.01,58639.76,590187.36,539405.62,108774.39,436752.56,active,kalshi,2026-09-12T06:02:05.508642+00:00
nfl,NFL,KXNFLGAME-26SEP13DALNYG,KXNFLGAME-26SEP13DALNYG-NYG,,NYG,DAL,2026-09-14T06:20:00Z,home,0.39,0.4,0.395,0.01,325741.12,760723.55,246915.57,69159.02,203922.13,active,kalshi,2026-09-12T06:02:05.508642+00:00
nfl,NFL,KXNFLGAME-26SEP13GBMIN,KXNFLGAME-26SEP13GBMIN-GB,,MIN,GB,2026-09-13T23:25:00Z,away,0.45,0.46,0.455,0.01,99568.2,411735.02,372331.33,70156.39,321575.39,active,kalshi,2026-09-12T06:02:05.508642+00:00
nfl,NFL,KXNFLGAME-26SEP13GBMIN,KXNFLGAME-26SEP13GBMIN-MIN,,MIN,GB,2026-09-13T23:25:00Z,home,0.54,0.55,0.545,0.01,103109.53,379879.51,157437.37,27853.94,135992.25,active,kalshi,2026-09-12T06:02:05.508642+00:00
nfl,NFL,KXNFLGAME-26SEP13MIALV,KXNFLGAME-26SEP13MIALV-MIA,,LV,MIA,2026-09-13T23:25:00Z,away,0.39,0.4,0.395,0.01,64005.83,217057.47,118725.87,22922.56,104377.95,active,kalshi,2026-09-12T06:02:05.508642+00:00
nfl,NFL,KXNFLGAME-26SEP13MIALV,KXNFLGAME-26SEP13MIALV-LV,,LV,MIA,2026-09-13T23:25:00Z,home,0.59,0.6,0.595,0.01,152219.63,71812.39,107439.38,26673.05,89229.92,active,kalshi,2026-09-12T06:02:05.508642+00:00
nfl,NFL,KXNFLGAME-26SEP13NODET,KXNFLGAME-26SEP13NODET-NO,,DET,NO,2026-09-13T20:00:00Z,away,0.25,0.26,0.255,0.01,160961.1,234048.87,182116.98,45096.48,157402.35,active,kalshi,2026-09-12T06:02:05.508642+00:00
nfl,NFL,KXNFLGAME-26SEP13NODET,KXNFLGAME-26SEP13NODET-DET,,DET,NO,2026-09-13T20:00:00Z,home,0.74,0.75,0.745,0.01,55531.9,1241649.75,302979.86,68517.49,215728.84,active,kalshi,2026-09-12T06:02:05.508642+00:00
nfl,NFL,KXNFLGAME-26SEP13NYJTEN,KXNFLGAME-26SEP13NYJTEN-NYJ,,TEN,NYJ,2026-09-13T23:00:00Z,away,0.48,0.49,0.485,0.01,208148.63,392152.62,138739.79,27964.06,121438.81,active,kalshi,2026-09-12T06:02:05.508642+00:00
nfl,NFL,KXNFLGAME-26SEP13NYJTEN,KXNFLGAME-26SEP13NYJTEN-TEN,,TEN,NYJ,2026-09-13T23:00:00Z,home,0.51,0.52,0.515,0.01,109162.03,769936.26,78808.85,15474.36,63313.87,active,kalshi,2026-09-12T06:02:05.508642+00:00
nfl,NFL,KXNFLGAME-26SEP13TBCIN,KXNFLGAME-26SEP13TBCIN-TB,,CIN,TB,2026-09-13T20:00:00Z,away,0.36,0.37,0.365,0.01,28267.83,582870.47,151925.53,48756.34,137318.39,active,kalshi,2026-09-12T06:02:05.508642+00:00
