game_id,sport,league,season,season_type,week,game_date,kickoff_utc,home_team,away_team,home_score,away_score,result,completed,status,source,ingested_at
espn_nfl_401872943,nfl,NFL,2026,2,2,2026-09-20,2026-09-20T20:25:00+00:00,ARI,SEA,,,,False,STATUS_SCHEDULED,espn,2026-09-13T15:17:35.344641+00:00
espn_nfl_401872944,nfl,NFL,2026,2,2,2026-09-20,2026-09-20T20:25:00+00:00,DAL,WAS,,,,False,STATUS_SCHEDULED,espn,2026-09-13T15:17:35.344641+00:00
espn_nfl_401872946,nfl,NFL,2026,2,2,2026-09-20,2026-09-20T17:00:00+00:00,NE,PIT,,,,False,STATUS_SCHEDULED,espn,2026-09-13T15:17:35.344641+00:00
espn_nfl_401872945,nfl,NFL,2026,2,2,2026-09-21,2026-09-21T00:20:00+00:00,KC,IND,,,,False,STATUS_SCHEDULED,espn,2026-09-13T15:17:35.344641+00:00
espn_nfl_401872947,nfl,NFL,2026,2,2,2026-09-22,2026-09-22T00:15:00+00:00,LA,NYG,,,,False,STATUS_SCHEDULED,espn,2026-09-13T15:17:35.344641+00:00
espn_nfl_401872948,nfl,NFL,2026,2,3,2026-09-25,2026-09-25T00:15:00+00:00,GB,ATL,,,,False,STATUS_SCHEDULED,espn,2026-09-13T15:17:35.344641+00:00
espn_nfl_401872949,nfl,NFL,2026,2,3,2026-09-27,2026-09-27T17:00:00+00:00,CLE,CAR,,,,False,STATUS_SCHEDULED,espn,2026-09-13T15:17:35.344641+00:00
espn_nfl_401872950,nfl,NFL,2026,2,3,2026-09-27,2026-09-27T17:00:00+00:00,PIT,CIN,,,,False,STATUS_SCHEDULED,espn,2026-09-13T15:17:35.344641+00:00
espn_nfl_401872951,nfl,NFL,2026,2,3,2026-09-27,2026-09-27T17:00:00+00:00,IND,HOU,,,,False,STATUS_SCHEDULED,espn,2026-09-13T15:17:35.344641+00:00
espn_nfl_401872952,nfl,NFL,2026,2,3,2026-09-27,2026-09-27T17:00:00+00:00,MIA,KC,,,,False,STATUS_SCHEDULED,espn,2026-09-13T15:17:35.344641+00:00
espn_nfl_401872953,nfl,NFL,2026,2,3,2026-09-27,2026-09-27T17:00:00+00:00,BUF,LAC,,,,False,STATUS_SCHEDULED,espn,2026-09-13T15:17:35.344641+00:00
