sport,league,event_ticker,market_ticker,game_id,home_team,away_team,commence_time,selection,yes_bid,yes_ask,implied_prob_mid,spread,yes_bid_size,yes_ask_size,volume,volume_24h,open_interest,status,source,fetched_at
soccer,EPL,KXEPLGAME-26SEP12TOTEVE,KXEPLGAME-26SEP12TOTEVE-TOT,,Tottenham,Everton,2026-09-12T19:30:00Z,home,0.46,0.47,0.4649999999999999,0.01,12667.85,4047.69,5664.13,1015.12,4563.26,active,kalshi,2026-09-10T14:51:52.972320+00:00
soccer,EPL,KXEPLGAME-26SEP13COVBRI,KXEPLGAME-26SEP13COVBRI-BRI,,Coventry,Brighton,2026-09-13T16:00:00Z,away,0.51,0.52,0.515,0.01,3885.3,7361.41,3597.29,885.65,3221.47,active,kalshi,2026-09-10T14:51:52.972320+00:00
soccer,EPL,KXEPLGAME-26SEP13COVBRI,KXEPLGAME-26SEP13COVBRI-TIE,,Coventry,Brighton,2026-09-13T16:00:00Z,draw,0.25,0.26,0.255,0.01,494.25,20274.99,268.09,60.54,243.34,active,kalshi,2026-09-10T14:51:52.972320+00:00
soccer,EPL,KXEPLGAME-26SEP13COVBRI,KXEPLGAME-26SEP13COVBRI-COV,,Coventry,Brighton,2026-09-13T16:00:00Z,home,0.23,0.24,0.235,0.01,6244.3,14182.81,2335.24,77.31,2162.28,active,kalshi,2026-09-10T14:51:52.972320+00:00
soccer,EPL,KXEPLGAME-26SEP13MUNMCI,KXEPLGAME-26SEP13MUNMCI-MCI,,Man United,Man City,2026-09-13T18:30:00Z,away,0.45,0.47,0.4599999999999999,0.02,6345.91,19225.51,76617.15,30221.32,67063.81,active,kalshi,2026-09-10T14:51:52.972320+00:00
soccer,EPL,KXEPLGAME-26SEP13MUNMCI,KXEPLGAME-26SEP13MUNMCI-TIE,,Man United,Man City,2026-09-13T18:30:00Z,draw,0.24,0.25,0.245,0.01,25600.56,58424.3,3704.27,1075.88,3389.81,active,kalshi,2026-09-10T14:51:52.972320+00:00
soccer,EPL,KXEPLGAME-26SEP13MUNMCI,KXEPLGAME-26SEP13MUNMCI-MUN,,Man United,Man City,2026-09-13T18:30:00Z,home,0.29,0.3,0.295,0.01,11666.41,1083.43,20781.15,4963.58,19840.98,active,kalshi,2026-09-10T14:51:52.972320+00:00
soccer,EPL,KXEPLGAME-26SEP14LEENEW,KXEPLGAME-26SEP14LEENEW-NEW,,Leeds,Newcastle,2026-09-14T22:00:00Z,away,0.33,0.34,0.335,0.01,25.03,8095.9,14254.7,1555.64,13901.38,active,kalshi,2026-09-10T14:51:52.972320+00:00
soccer,EPL,KXEPLGAME-26SEP14LEENEW,KXEPLGAME-26SEP14LEENEW-TIE,,Leeds,Newcastle,2026-09-14T22:00:00Z,draw,0.26,0.28,0.27,0.02,2750.37,14391.91,995.0,326.61,956.81,active,kalshi,2026-09-10T14:51:52.972320+00:00
soccer,EPL,KXEPLGAME-26SEP14LEENEW,KXEPLGAME-26SEP14LEENEW-LEE,,Leeds,Newcastle,2026-09-14T22:00:00Z,home,0.39,0.4,0.395,0.01,1070.9,4356.21,641.34,32.9,593.62,active,kalshi,2026-09-10T14:51:52.972320+00:00
soccer,EPL,KXEPLGAME-26SEP18BRECFC,KXEPLGAME-26SEP18BRECFC-CFC,,Brentford,Chelsea,2026-09-18T22:00:00Z,away,0.4,0.41,0.405,0.01,38.32,15475.52,7230.39,1915.44,7027.19,active,kalshi,2026-09-10T14:51:52.972320+00:00
soccer,EPL,KXEPLGAME-26SEP18BRECFC,KXEPLGAME-26SEP18BRECFC-TIE,,Brentford,Chelsea,2026-09-18T22:00:00Z,draw,0.24,0.26,0.25,0.02,6163.24,15994.35,480.4,178.0,463.4,active,kalshi,2026-09-10T14:51:52.972320+00:00
soccer,EPL,KXEPLGAME-26SEP18BRECFC,KXEPLGAME-26SEP18BRECFC-BRE,,Brentford,Chelsea,2026-09-18T22:00:00Z,home,0.34,0.36,0.35,0.02,200.0,16069.31,99.1,26.0,99.1,active,kalshi,2026-09-10T14:51:52.972320+00:00
soccer,EPL,KXEPLGAME-26SEP19BRIARS,KXEPLGAME-26SEP19BRIARS-ARS,,Brighton,Arsenal,2026-09-19T17:00:00Z,away,0.57,0.58,0.575,0.01,13.48,17217.91,27889.62,5201.74,24646.12,active,kalshi,2026-09-10T14:51:52.972320+00:00
soccer,EPL,KXEPLGAME-26SEP19BRIARS,KXEPLGAME-26SEP19BRIARS-TIE,,Brighton,Arsenal,2026-09-19T17:00:00Z,draw,0.22,0.24,0.2299999999999999,0.02,8912.33,15915.0,333.22,200.0,225.62,active,kalshi,2026-09-10T14:51:52.972320+00:00
soccer,EPL,KXEPLGAME-26SEP19BRIARS,KXEPLGAME-26SEP19BRIARS-BRI,,Brighton,Arsenal,2026-09-19T17:00:00Z,home,0.2,0.22,0.21,0.02,12821.66,15882.0,1060.09,76.0,1017.13,active,kalshi,2026-09-10T14:51:52.972320+00:00
soccer,EPL,KXEPLGAME-26SEP19EVEIPS,KXEPLGAME-26SEP19EVEIPS-IPS,,Everton,Ipswich,2026-09-19T17:00:00Z,away,0.21,0.22,0.215,0.01,2079.0,4339.26,69.73,0.0,69.73,active,kalshi,2026-09-10T14:51:52.972320+00:00
